scenario,profile,model_name,dataset_name,task_name,split_name,num_eval_tokens,num_samples,adms_ppl,streaming_ppl,ppl_gain_pct,adms_tok_per_sec,streaming_tok_per_sec,adms_time_sec,streaming_time_sec,adms_tokens,streaming_tokens
llama3_15k,balanced,meta-llama/Meta-Llama-3-8B-Instruct,wikitext,wikitext-103-raw-v1,test,15360,32,9.3517,10.3237,9.4154,19.2387,20.0176,149.9581,144.1230,2885,2885
llama3_16k,balanced,meta-llama/Meta-Llama-3-8B-Instruct,wikitext,wikitext-103-raw-v1,test,16384,48,8.2598,8.5566,3.4692,24.9771,26.4740,655.9615,618.8714,16384,16384
llama3_16k,quality,meta-llama/Meta-Llama-3-8B-Instruct,wikitext,wikitext-103-raw-v1,test,16384,48,9.3854,9.8123,4.3507,25.6032,27.3079,639.9197,599.9732,16384,16384
llama3_32k,balanced,meta-llama/Meta-Llama-3-8B-Instruct,wikitext,wikitext-103-raw-v1,test,32768,32,9.1262,9.4342,3.2643,25.2756,26.9097,1296.4263,1217.7000,32768,32768
llama3_32k,quality,meta-llama/Meta-Llama-3-8B-Instruct,wikitext,wikitext-103-raw-v1,test,32768,32,10.5063,10.9373,3.9402,25.7856,27.6983,1270.7888,1183.0315,32768,32768
llama3_8k,balanced,meta-llama/Meta-Llama-3-8B-Instruct,wikitext,wikitext-103-raw-v1,test,8192,64,10.5600,11.1624,5.3968,25.4643,27.5748,321.7047,297.0826,8192,8192
llama3_8k,quality,meta-llama/Meta-Llama-3-8B-Instruct,wikitext,wikitext-103-raw-v1,test,8192,64,11.7067,12.5478,6.7026,25.3762,27.2294,322.8215,300.8515,8192,8192
opt13b,balanced,facebook/opt-1.3b,wikitext,wikitext-2-raw-v1,test,2048,128,33.8438,71.5000,52.6661,51.4058,69.4538,39.8399,29.4872,2048,2048
opt13b,quality,facebook/opt-1.3b,wikitext,wikitext-2-raw-v1,test,2048,128,29.6875,48.6562,38.9852,51.4625,69.2259,39.7959,29.5843,2048,2048
opt13b_2k,balanced,facebook/opt-1.3b,wikitext,wikitext-2-raw-v1,test,2048,128,33.9062,71.5000,52.5787,51.0418,69.4925,40.1240,29.4708,2048,2048
opt13b_2k,quality,facebook/opt-1.3b,wikitext,wikitext-2-raw-v1,test,2048,128,29.6250,48.6562,39.1137,52.3694,70.1131,39.1068,29.2099,2048,2048
opt13b_4k,balanced,facebook/opt-1.3b,wikitext,wikitext-2-raw-v1,test,4096,96,70.9375,135.6250,47.6959,55.5803,67.5527,73.6952,60.6341,4096,4096
opt13b_4k,quality,facebook/opt-1.3b,wikitext,wikitext-2-raw-v1,test,4096,96,40.7188,60.9062,33.1452,54.6964,67.6348,74.8861,60.5606,4096,4096
tinyllama,balanced,TinyLlama/TinyLlama-1.1B-Chat-v1.0,wikitext,wikitext-103-raw-v1,test,2048,128,8.2877,9.4643,12.4316,35.5052,41.3075,57.6816,49.5793,2048,2048
tinyllama,quality,TinyLlama/TinyLlama-1.1B-Chat-v1.0,wikitext,wikitext-103-raw-v1,test,2048,128,8.5435,10.2187,16.3937,36.5644,41.4827,56.0107,49.3700,2048,2048
tinyllama_2k,balanced,TinyLlama/TinyLlama-1.1B-Chat-v1.0,wikitext,wikitext-103-raw-v1,test,2048,128,8.2878,9.4642,12.4304,36.7030,40.5812,55.7992,50.4667,2048,2048
tinyllama_2k,quality,TinyLlama/TinyLlama-1.1B-Chat-v1.0,wikitext,wikitext-103-raw-v1,test,2048,128,8.5440,10.2190,16.3911,36.1104,39.5355,56.7149,51.8016,2048,2048
tinyllama_4k,balanced,TinyLlama/TinyLlama-1.1B-Chat-v1.0,wikitext,wikitext-103-raw-v1,test,4096,96,9.3546,10.1542,7.8751,36.4802,38.4695,112.2801,106.4738,4096,4096
tinyllama_4k,quality,TinyLlama/TinyLlama-1.1B-Chat-v1.0,wikitext,wikitext-103-raw-v1,test,4096,96,10.1821,11.1465,8.6520,35.4128,38.7548,115.6646,105.6902,4096,4096
